EventID,PromoterID,EventName,EventDate,EventEndDate,EventAddress,EventCity,EventState,Country,EventLat,EventLon,EventType,SecondaryEventType
31,15,ECV Cyclocross,2000-10-15 0:00:00,2000-10-15 0:00:00,,Gloucester,MA,USA,42.6159285,-70.6619888,Cyclocross,NULL
183,15,ECV Cyclocross,2001-10-14 0:00:00,2001-10-14 0:00:00,,Gloucester,MA,USA,42.61142,-70.65895,Cyclocross,NULL
528,15,ECV Cyclocross,2002-10-13 0:00:00,2002-10-13 0:00:00,,"Stage Fort Park, Gloucester",MA,USA,42.6056566,-70.6774439,Cyclocross,NULL
1136,15,CLIF BAR/ECV Cyclocross Race,2003-11-02 0:00:00,2003-11-02 0:00:00,,Gloucester,MA,USA,42.6186994,-70.6811613,Cyclocross,NULL
1819,15,"Michelob ULTRA Gran Prix of Gloucester,      Race #1, USGP #3, Verge NECCS #2",2004-10-30 0:00:00,2004-10-30 0:00:00,,Gloucester,MA,USA,42.6186994,-70.6811613,Cyclocross,NULL
1821,15,"Michelob ULTRA Gran Prix of Gloucester,      Race #2, USGP #4, Verge NECCS #3",2004-10-31 0:00:00,2004-10-31 0:00:00,,Gloucester,MA,USA,42.6186994,-70.6811613,Cyclocross,NULL
2684,15,"Michelob ULTRA Gran Prix of Gloucester,      Race #2, USGP #4, UCI Cat 1",2005-10-30 0:00:00,2005-10-30 0:00:00,,Gloucester,MA,USA,42.6186994,-70.6811613,Cyclocross,NULL
2687,15,"Michelob ULTRA Gran Prix of Gloucester,      Race #1, USGP #3, UCI Cat 2",2005-10-29 0:00:00,2005-10-29 0:00:00,,Gloucester,MA,USA,42.6186994,-70.6811613,Cyclocross,NULL
3847,15,"Gran Prix of Gloucester Presented by SemEquip, Races 1 & 2, USGP #1 & 2, UCI Cat 1",2006-10-07 0:00:00,2006-10-08 0:00:00,,Gloucester,MA,USA,42.6186994,-70.6811613,Cyclocross,NULL
4269,15,Essex County Velo (ECV) 2007 Clothing Order,2007-02-07 0:00:00,2007-02-28 0:00:00,,Manchester,MA,USA,42.577834,-70.7675967,Special Event,NULL
4322,15,Essex County Velo (ECV) Annual Dues,2007-02-19 0:00:00,2007-12-31 0:00:00,,Manchester-by-the-Sea,MA,USA,42.577834,-70.7675967,Club Membership,NULL
4916,15,Witches Cup Criterium,2007-08-15 0:00:00,2007-08-15 0:00:00,,Salem,MA,USA,42.5235097,-70.8952337,Road Race,NULL
5193,15,"Gran Prix of Gloucester Presented by SemEquip, Verge NECCS #1 & 2, UCI Cat 2",2007-10-13 0:00:00,2007-10-14 0:00:00,,Gloucester,MA,USA,42.6186994,-70.6811613,Cyclocross,NULL
5587,15,Essex County Velo (ECV) 2008 Clothing Order,2008-01-17 0:00:00,2008-01-31 0:00:00,,Beverly,MA,USA,42.5720581,-70.8476708,Special Event,NULL
5588,15,Essex County Velo (ECV) Annual Dues,2008-01-01 0:00:00,2008-12-31 0:00:00,,Beverly,MA,USA,42.5720581,-70.8476708,Club Membership,NULL
6882,15,Witches Cup Criterium,2008-08-13 0:00:00,2008-08-13 0:00:00,,Salem,MA,USA,42.5235097,-70.8952337,Road Race,NULL
6915,15,"Erdinger Gran Prix of Gloucester, North American Cyclocross Trophy, Verge NECCS, UCI Cat 2",2008-10-11 0:00:00,2008-10-12 0:00:00,,Gloucester,MA,USA,42.6186994,-70.6811613,Cyclocross,NULL
6999,15,Essex County Velo (ECV) 2008 Fall Clothing Order,2008-08-18 0:00:00,2008-08-18 0:00:00,,Beverly,MA,USA,42.5720581,-70.8476708,Special Event,NULL
7669,15,Essex County Velo (ECV) Annual Dues,2009-01-26 0:00:00,2009-12-31 0:00:00,,Beverly,MA,USA,42.5720581,-70.8476708,Club Membership,NULL
7848,15,Essex County Velo (ECV) 2009 Clothing Order,2009-02-20 0:00:00,2009-02-20 0:00:00,,Beverly,MA,USA,42.3078158,-71.1639892,Club Membership,NULL
9030,15,Gran Prix of Beverly Presented by Beverly Hospital,2009-08-13 0:00:00,2009-08-13 0:00:00,,Beverly,MA,USA,42.5720581,-70.8476708,Road Race,NULL
9229,15,"Great Brewers Gran Prix of Gloucester, NACT, Verge NECCS, UCI Cat 2",2009-10-03 0:00:00,2009-10-04 0:00:00,,Gloucester,MA,USA,42.6186994,-70.6811613,Cyclocross,NULL
9876,15,ECV (Essex County Velo) 2010 Annual Membership,2010-01-09 0:00:00,2010-12-31 0:00:00,,Beverly,MA,USA,42.5720581,-70.8476708,Club Membership,NULL
9994,15,ECV (Essex County Velo) 2010 Clothing Order,2010-01-20 0:00:00,2010-02-09 0:00:00,,Beverly,MA,USA,42.5720581,-70.8476708,Club Membership,NULL
11238,15,ECV (Essex County Velo) 2010 Fall Clothing Order,2010-07-06 0:00:00,2010-07-06 0:00:00,,Beverly,MA,USA,42.5720581,-70.8476708,Club Membership,NULL
11240,15,Fidelity Investments Gran Prix of Beverly Presented by Beverly Hospital; MASS State Crit Championships,2010-08-04 0:00:00,2010-08-04 0:00:00,,Beverly,MA,USA,42.5720581,-70.8476708,Road Race,NULL
11416,15,"Great Brewers Gran Prix of Gloucester, NACT, UCI Cat 2",2010-10-02 0:00:00,2010-10-03 0:00:00,,Gloucester,MA,USA,42.6186994,-70.6811613,Cyclocross,NULL
12613,15,ECV (Essex County Velo) 2011 Annual Membership,2011-02-05 0:00:00,2011-12-31 0:00:00,,Beverly,MA,USA,42.5720581,-70.8476708,Club Membership,NULL
12614,15,ECV (Essex County Velo) 2011 Clothing Order,2011-02-05 0:00:00,2011-02-24 0:00:00,,Beverly,MA,USA,42.5720581,-70.8476708,Club Membership,NULL
12915,15,ECV 2011 Bike Swap,2011-04-17 0:00:00,2011-04-17 0:00:00,,Beverly,MA,USA,42.5720581,-70.8476708,Special Event,NULL
13362,15,ECV Special Clothing Order: Weisse,2011-04-29 0:00:00,2011-04-29 0:00:00,,Beverly,MA,USA,42.5720581,-70.8476708,Club Membership,NULL
13471,15,ECV Tour d'Essex County,2011-05-28 0:00:00,2011-05-28 0:00:00,,Beverly,MA,USA,42.5720581,-70.8476708,Special Event,NULL
13845,15,ECV (Essex County Velo) Mid-Season 2011 Clothing Order,2011-07-02 0:00:00,2011-07-09 0:00:00,,Beverly,MA,USA,42.5720581,-70.8476708,Club Membership,NULL
